community_area,year,month,total_crime_count,total_crime_weight,avg_latitude,avg_longitude,risk_score,safety_score,cluster,risk_level,anomaly_label,anomaly_status
1.0,2023,1,61,318.0,42.010811256,-87.6706239470164,24.04,75.96,0,Medium Risk,1,Normal
2.0,2023,1,74,384.0,41.99918061025676,-87.6924473371892,29.2,70.8,0,Medium Risk,1,Normal
3.0,2023,1,74,368.0,41.966248246013514,-87.656091936,27.95,72.05,0,Medium Risk,1,Normal
4.0,2023,1,36,162.0,41.973662396416664,-87.68992581041667,11.87,88.13,2,Safe,1,Normal
5.0,2023,1,25,111.0,41.9499614306,-87.68240100852,7.88,92.12,2,Safe,1,Normal
6.0,2023,1,107,472.0,41.94330681283178,-87.65360648585981,36.07,63.93,0,Medium Risk,1,Normal
7.0,2023,1,72,348.0,41.92302200754167,-87.65205239138889,26.39,73.61,0,Medium Risk,1,Normal
8.0,2023,1,226,1096.0,41.89660491590265,-87.63138225803539,84.78,15.22,1,High Risk,-1,Anomaly
9.0,2023,1,3,10.0,42.007967971666666,-87.81560056766666,0.0,100.0,2,Safe,-1,Anomaly
10.0,2023,1,27,124.0,41.98565240888889,-87.80044944211112,8.9,91.1,2,Safe,1,Normal
11.0,2023,1,22,100.0,41.9745739255,-87.76849938331817,7.03,92.97,2,Safe,1,Normal
12.0,2023,1,17,86.0,41.98870631288236,-87.75795837552941,5.93,94.07,2,Safe,1,Normal
13.0,2023,1,12,55.0,41.98454615041667,-87.71595275291666,3.51,96.49,2,Safe,1,Normal
14.0,2023,1,55,263.0,41.96721407612727,-87.71861800305454,19.75,80.25,0,Medium Risk,1,Normal
15.0,2023,1,57,238.0,41.95245951736842,-87.76021866863158,17.8,82.2,0,Medium Risk,1,Normal
16.0,2023,1,56,267.0,41.95256223775,-87.71957149119643,20.06,79.94,0,Medium Risk,1,Normal
17.0,2023,1,35,166.0,41.94338924465715,-87.81309249471428,12.18,87.82,2,Safe,1,Normal
18.0,2023,1,11,60.0,41.929957667,-87.79899412672727,3.9,96.1,2,Safe,1,Normal
19.0,2023,1,82,403.0,41.9276254352683,-87.7620643202561,30.68,69.32,0,Medium Risk,1,Normal
20.0,2023,1,34,190.0,41.92272994720588,-87.73430587929411,14.05,85.95,2,Safe,1,Normal
21.0,2023,1,27,124.0,41.938329690370374,-87.70953903614816,8.9,91.1,2,Safe,1,Normal
22.0,2023,1,86,422.0,41.92354930132558,-87.70134772017443,32.16,67.84,0,Medium Risk,1,Normal
23.0,2023,1,117,678.0,41.90010726360684,-87.7200532952906,52.15,47.85,1,High Risk,1,Normal
24.0,2023,1,145,742.0,41.900109764896555,-87.67398500902758,57.14,42.86,1,High Risk,-1,Anomaly
25.0,2023,1,252,1291.0,41.89210789674603,-87.75739202592064,100.0,0.0,1,High Risk,-1,Anomaly
26.0,2023,1,83,404.0,41.87774096325301,-87.72902395201204,30.76,69.24,0,Medium Risk,1,Normal
27.0,2023,1,70,396.0,41.878860942371425,-87.70659784797142,30.13,69.87,0,Medium Risk,1,Normal
28.0,2023,1,206,1002.0,41.87801886468933,-87.66347160150971,77.44,22.56,1,High Risk,-1,Anomaly
29.0,2023,1,112,630.0,41.86094033927679,-87.71732409,48.4,51.6,1,High Risk,1,Normal
30.0,2023,1,74,394.0,41.845329137283784,-87.7116942806081,29.98,70.02,0,Medium Risk,1,Normal
31.0,2023,1,47,237.0,41.85494212646809,-87.66793008225532,17.72,82.28,0,Medium Risk,1,Normal
32.0,2023,1,176,823.0,41.87915518467045,-87.6279003717841,63.47,36.53,1,High Risk,-1,Anomaly
33.0,2023,1,38,185.0,41.85845349586842,-87.62448955418421,13.66,86.34,2,Safe,1,Normal
34.0,2023,1,15,77.0,41.843843866533334,-87.6334045504,5.23,94.77,2,Safe,1,Normal
35.0,2023,1,72,358.0,41.835040664194445,-87.62039401763889,27.17,72.83,0,Medium Risk,1,Normal
36.0,2023,1,14,67.0,41.82619108342857,-87.60680600792857,4.45,95.55,2,Safe,1,Normal
37.0,2023,1,16,89.0,41.8063513416875,-87.632363006,6.17,93.83,2,Safe,1,Normal
38.0,2023,1,58,320.0,41.81104455256897,-87.6170967145862,24.2,75.8,0,Medium Risk,1,Normal
39.0,2023,1,37,202.0,41.808063430135135,-87.59543388383784,14.99,85.01,2,Safe,1,Normal
40.0,2023,1,65,361.0,41.79034655750769,-87.62059530881538,27.4,72.6,0,Medium Risk,1,Normal
41.0,2023,1,51,258.0,41.797675290921575,-87.592556202,19.36,80.64,0,Medium Risk,1,Normal
42.0,2023,1,50,280.0,41.7783324556,-87.60350541284001,21.08,78.92,0,Medium Risk,1,Normal
43.0,2023,1,186,976.0,41.76186101640323,-87.57086041378494,75.41,24.59,1,High Risk,-1,Anomaly
44.0,2023,1,140,747.0,41.74251739790714,-87.61273646884285,57.53,42.47,1,High Risk,1,Normal
45.0,2023,1,26,129.0,41.74457296088462,-87.5876861416923,9.29,90.71,2,Safe,1,Normal
46.0,2023,1,75,370.0,41.74307235684,-87.55747469317333,28.1,71.9,0,Medium Risk,1,Normal
47.0,2023,1,9,51.0,41.72775154777778,-87.5983247501111,3.2,96.8,2,Safe,1,Normal
48.0,2023,1,29,173.0,41.73016102472413,-87.57286278506896,12.72,87.28,2,Safe,1,Normal
49.0,2023,1,122,696.0,41.703632038967214,-87.62408138453279,53.55,46.45,1,High Risk,1,Normal
50.0,2023,1,16,71.0,41.703162828875,-87.6002419635625,4.76,95.24,2,Safe,1,Normal
51.0,2023,1,48,258.0,41.71401358214583,-87.56817792906249,19.36,80.64,0,Medium Risk,1,Normal
52.0,2023,1,27,136.0,41.70614116140741,-87.53401604522223,9.84,90.16,2,Safe,1,Normal
53.0,2023,1,72,381.0,41.67519541163889,-87.6347949225,28.96,71.04,0,Medium Risk,1,Normal
54.0,2023,1,27,150.0,41.65571283496296,-87.6068662445926,10.93,89.07,2,Safe,1,Normal
55.0,2023,1,15,75.0,41.654355858,-87.54552505613333,5.07,94.93,2,Safe,1,Normal
56.0,2023,1,38,170.0,41.79551242363158,-87.76528202352631,12.49,87.51,2,Safe,1,Normal
57.0,2023,1,11,54.0,41.80807625781818,-87.72511466127273,3.43,96.57,2,Safe,1,Normal
58.0,2023,1,38,194.0,41.81561711313158,-87.69601194118421,14.36,85.64,2,Safe,1,Normal
59.0,2023,1,12,67.0,41.83175097066667,-87.67145178441666,4.45,95.55,2,Safe,1,Normal
60.0,2023,1,23,113.0,41.83496821178261,-87.64555550147826,8.04,91.96,2,Safe,1,Normal
61.0,2023,1,61,333.0,41.805854648032785,-87.66264892277049,25.21,74.79,0,Medium Risk,1,Normal
62.0,2023,1,23,110.0,41.79443759582608,-87.72604105317392,7.81,92.19,2,Safe,1,Normal
63.0,2023,1,42,229.0,41.796300202333335,-87.69732591992857,17.1,82.9,2,Safe,1,Normal
64.0,2023,1,31,145.0,41.77764244174194,-87.76817593219354,10.54,89.46,2,Safe,1,Normal
65.0,2023,1,32,155.0,41.77098857375,-87.7274526100625,11.32,88.68,2,Safe,1,Normal
66.0,2023,1,86,476.0,41.77400102766279,-87.69310259811628,36.38,63.62,0,Medium Risk,1,Normal
67.0,2023,1,106,589.0,41.774471451981135,-87.66477620038678,45.2,54.8,1,High Risk,1,Normal
68.0,2023,1,99,530.0,41.774006285686866,-87.64313051948486,40.59,59.41,0,Medium Risk,1,Normal
69.0,2023,1,115,641.0,41.76189155674783,-87.61706334046957,49.26,50.74,1,High Risk,1,Normal
70.0,2023,1,48,215.0,41.74818931447917,-87.71251943695835,16.0,84.0,2,Safe,1,Normal
71.0,2023,1,152,799.0,41.74566180938816,-87.65575180415131,61.59,38.41,1,High Risk,-1,Anomaly
72.0,2023,1,20,102.0,41.712079399,-87.67493587605,7.18,92.82,2,Safe,1,Normal
73.0,2023,1,61,319.0,41.7181676417541,-87.6500206522459,24.12,75.88,0,Medium Risk,1,Normal
74.0,2023,1,14,72.0,41.694715777642855,-87.70743887799999,4.84,95.16,2,Safe,1,Normal
75.0,2023,1,40,207.0,41.691177134825,-87.661839946,15.38,84.62,2,Safe,1,Normal
76.0,2023,1,34,164.0,41.978124295823534,-87.8879033297353,12.02,87.98,2,Safe,1,Normal
77.0,2023,1,63,272.0,41.98754177612698,-87.66182952753968,20.45,79.55,0,Medium Risk,1,Normal
